balls_per_over,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,tv_umpire,match_referee,winner,win_by,match_id,winner_type,date1,date2,method,outcome,eliminator
6,Kings XI Punjab,Rajasthan Royals,male,2014,2014/05/23,Indian Premier League,52,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,field,SE Marsh,HDPK Dharmasena,PG Pathak,UV Gandhe,VA Kulkarni,RS Mahanama,Kings XI Punjab,16,734033,runs,,,,,
6,Rajasthan Royals,Chennai Super Kings,male,2015,2015/04/19,Indian Premier League,15,"Sardar Patel Stadium, Motera",Ahmedabad,Chennai Super Kings,bat,AM Rahane,AK Chaudhary,M Erasmus,K Srinivasan,K Srinath,Chinmay Sharma,Rajasthan Royals,8,829735,wickets,,,,,
6,Rajasthan Royals,Royal Challengers Bangalore,male,2015,2015/04/24,Indian Premier League,22,"Sardar Patel Stadium, Motera",Ahmedabad,Royal Challengers Bangalore,field,MA Starc,M Erasmus,S Ravi,K Srinath,AK Chaudhary,Chinmay Sharma,Royal Challengers Bangalore,9,829749,wickets,,,,,
6,Kolkata Knight Riders,Royal Challengers Bangalore,male,2015,2015/04/11,Indian Premier League,5,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,CH Gayle,S Ravi,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Royal Challengers Bangalore,3,829713,wickets,,,,,
6,Kolkata Knight Riders,Mumbai Indians,male,2015,2015/04/08,Indian Premier League,1,Eden Gardens,Kolkata,Kolkata Knight Riders,field,M Morkel,S Ravi,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Kolkata Knight Riders,7,829705,wickets,,,,,
6,Kings XI Punjab,Kolkata Knight Riders,male,2014,,Indian Premier League,,Eden Gardens,Kolkata,Kings XI Punjab,field,UT Yadav,NJ Llong,S Ravi,CK Nandan,C Shamshuddin,RS Mahanama,Kolkata Knight Riders,28,734043,runs,2014/05/27,2014/05/28,,,
6,Royal Challengers Bangalore,Chennai Super Kings,male,2015,2015/04/22,Indian Premier League,20,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,SK Raina,JD Cloete,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Chennai Super Kings,27,829745,runs,,,,,
6,Sunrisers Hyderabad,Kolkata Knight Riders,male,2015,2015/04/22,Indian Premier League,19,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Kolkata Knight Riders,field,DA Warner,RK Illingworth,VA Kulkarni,K Bharatan,RM Deshpande,M Nayyar,Sunrisers Hyderabad,16,829743,runs,,,D/L,,
6,Royal Challengers Bangalore,Chennai Super Kings,male,2014,2014/05/24,Indian Premier League,53,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,field,MS Dhoni,AK Chaudhary,NJ Llong,A Nand Kishore,CK Nandan,RS Madugalle,Chennai Super Kings,8,734035,wickets,,,,,
6,Royal Challengers Bangalore,Mumbai Indians,male,2015,2015/04/19,Indian Premier League,16,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Harbhajan Singh,RK Illingworth,VA Kulkarni,K Bharatan,RM Deshpande,J Srinath,Mumbai Indians,18,829737,runs,,,,,
6,Chennai Super Kings,Mumbai Indians,male,2014,2014/05/28,Indian Premier League,,Brabourne Stadium,Mumbai,Chennai Super Kings,field,SK Raina,VA Kulkarni,BNJ Oxenford,RM Deshpande,RJ Tucker,AJ Pycroft,Chennai Super Kings,7,734045,wickets,,,,,
6,Rajasthan Royals,Kings XI Punjab,male,2015,2015/04/21,Indian Premier League,18,"Sardar Patel Stadium, Motera",Ahmedabad,Kings XI Punjab,field,SE Marsh,M Erasmus,S Ravi,K Srinath,AK Chaudhary,Chinmay Sharma,,,829741,,,,,tie,Kings XI Punjab
6,Mumbai Indians,Delhi Daredevils,male,2014,2014/05/23,Indian Premier League,51,Wankhede Stadium,Mumbai,Delhi Daredevils,field,MEK Hussey,S Ravi,RJ Tucker,AY Dandekar,K Srinath,AJ Pycroft,Mumbai Indians,15,734031,runs,,,,,
6,Kolkata Knight Riders,Chennai Super Kings,male,2014,2014/05/20,Indian Premier League,47,Eden Gardens,Kolkata,Kolkata Knight Riders,field,RV Uthappa,RM Deshpande,C Shamshuddin,Nitin Menon,BNJ Oxenford,J Srinath,Kolkata Knight Riders,8,734023,wickets,,,,,
6,Kolkata Knight Riders,Kings XI Punjab,male,2014,2014/06/01,Indian Premier League,,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,field,MK Pandey,HDPK Dharmasena,BNJ Oxenford,CK Nandan,S Ravi,RS Mahanama,Kolkata Knight Riders,3,734049,wickets,,,,,
6,Chennai Super Kings,Delhi Daredevils,male,2015,2015/04/09,Indian Premier League,2,"MA Chidambaram Stadium, Chepauk",Chennai,Delhi Daredevils,field,A Nehra,RK Illingworth,VA Kulkarni,K Bharatan,RM Deshpande,M Nayyar,Chennai Super Kings,1,829707,runs,,,,,
6,Kings XI Punjab,Mumbai Indians,male,2014,2014/05/21,Indian Premier League,48,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,LMP Simmons,HDPK Dharmasena,VA Kulkarni,UV Gandhe,PG Pathak,RS Mahanama,Mumbai Indians,7,734025,wickets,,,,,
